fid,username,display_name,follower_count,following_count,last_cast_date,days_inactive
718,"sim_early_718","Sim_early User 718",1558,545,"2024-01-01",61
157,"sim_early_157","Sim_early User 157",808,282,"2024-01-01",89
250,"sim_early_250","Sim_early User 250",1479,517,"2024-01-01",163
994,"sim_early_994","Sim_early User 994",1134,396,"2024-01-01",75
497,"sim_early_497","Sim_early User 497",1909,668,"2024-01-01",170
262,"sim_early_262","Sim_early User 262",416,145,"2024-01-01",93
6874,"sim_mid_6874","Sim_mid User 6874",1379,482,"2024-01-01",98
3502,"sim_mid_3502","Sim_mid User 3502",1056,369,"2024-01-01",155
16545,"sim_recent_16545","Sim_recent User 16545",714,249,"2024-01-01",127
17633,"sim_recent_17633","Sim_recent User 17633",115,40,"2024-01-01",72
23634,"sim_recent_23634","Sim_recent User 23634",248,86,"2024-01-01",166
17063,"sim_recent_17063","Sim_recent User 17063",458,160,"2024-01-01",94
