fid,username,display_name,follower_count,following_count,last_cast_date,days_inactive
173,"aggressive_173","Aggressive User 173",3995,1198,"2024-01-01",92
129,"aggressive_129","Aggressive User 129",847,254,"2024-01-01",102
300,"aggressive_300","Aggressive User 300",3870,1161,"2024-01-01",151
383,"aggressive_383","Aggressive User 383",3187,956,"2024-01-01",89
208,"aggressive_208","Aggressive User 208",3253,975,"2024-01-01",154
141,"aggressive_141","Aggressive User 141",1641,492,"2024-01-01",72
325,"aggressive_325","Aggressive User 325",3137,941,"2024-01-01",102
402,"aggressive_402","Aggressive User 402",1957,587,"2024-01-01",93
235,"aggressive_235","Aggressive User 235",3173,951,"2024-01-01",188
324,"aggressive_324","Aggressive User 324",2894,868,"2024-01-01",175
322,"aggressive_322","Aggressive User 322",3720,1116,"2024-01-01",63
445,"aggressive_445","Aggressive User 445",598,179,"2024-01-01",208
232,"aggressive_232","Aggressive User 232",519,155,"2024-01-01",149
329,"aggressive_329","Aggressive User 329",698,209,"2024-01-01",130
111,"aggressive_111","Aggressive User 111",3715,1114,"2024-01-01",196
286,"aggressive_286","Aggressive User 286",2998,899,"2024-01-01",111
275,"aggressive_275","Aggressive User 275",4030,1209,"2024-01-01",205
2106,"aggressive_2106","Aggressive User 2106",3975,1192,"2024-01-01",188
2302,"aggressive_2302","Aggressive User 2302",2695,808,"2024-01-01",162
2825,"aggressive_2825","Aggressive User 2825",254,76,"2024-01-01",78
2588,"aggressive_2588","Aggressive User 2588",1026,307,"2024-01-01",133
2797,"aggressive_2797","Aggressive User 2797",2161,648,"2024-01-01",152
1503,"aggressive_1503","Aggressive User 1503",642,192,"2024-01-01",196
2011,"aggressive_2011","Aggressive User 2011",3003,900,"2024-01-01",103
1771,"aggressive_1771","Aggressive User 1771",2732,819,"2024-01-01",191
2134,"aggressive_2134","Aggressive User 2134",1765,529,"2024-01-01",167
2482,"aggressive_2482","Aggressive User 2482",2298,689,"2024-01-01",131
1079,"aggressive_1079","Aggressive User 1079",2484,745,"2024-01-01",138
1305,"aggressive_1305","Aggressive User 1305",208,62,"2024-01-01",177
1743,"aggressive_1743","Aggressive User 1743",3581,1074,"2024-01-01",171
10482,"aggressive_10482","Aggressive User 10482",3101,930,"2024-01-01",139
11569,"aggressive_11569","Aggressive User 11569",3739,1121,"2024-01-01",130
7884,"aggressive_7884","Aggressive User 7884",2060,618,"2024-01-01",167
10849,"aggressive_10849","Aggressive User 10849",3509,1052,"2024-01-01",165
9580,"aggressive_9580","Aggressive User 9580",2867,860,"2024-01-01",82
11013,"aggressive_11013","Aggressive User 11013",2599,779,"2024-01-01",104
9602,"aggressive_9602","Aggressive User 9602",3334,1000,"2024-01-01",171
9802,"aggressive_9802","Aggressive User 9802",2874,862,"2024-01-01",197
7270,"aggressive_7270","Aggressive User 7270",1225,367,"2024-01-01",89
17684,"aggressive_17684","Aggressive User 17684",2699,809,"2024-01-01",106
23595,"aggressive_23595","Aggressive User 23595",3499,1049,"2024-01-01",77
21316,"aggressive_21316","Aggressive User 21316",1916,574,"2024-01-01",204
16175,"aggressive_16175","Aggressive User 16175",2041,612,"2024-01-01",151
28038,"aggressive_28038","Aggressive User 28038",302,90,"2024-01-01",191
28667,"aggressive_28667","Aggressive User 28667",201,60,"2024-01-01",120
21845,"aggressive_21845","Aggressive User 21845",2254,676,"2024-01-01",155
22143,"aggressive_22143","Aggressive User 22143",2160,648,"2024-01-01",171
17574,"aggressive_17574","Aggressive User 17574",857,257,"2024-01-01",189
26582,"aggressive_26582","Aggressive User 26582",1385,415,"2024-01-01",74
22716,"aggressive_22716","Aggressive User 22716",3920,1176,"2024-01-01",147
44373,"aggressive_44373","Aggressive User 44373",2222,666,"2024-01-01",183
34473,"aggressive_34473","Aggressive User 34473",68,20,"2024-01-01",138
49115,"aggressive_49115","Aggressive User 49115",2323,696,"2024-01-01",166
32522,"aggressive_32522","Aggressive User 32522",709,212,"2024-01-01",95
39105,"aggressive_39105","Aggressive User 39105",453,135,"2024-01-01",89
48382,"aggressive_48382","Aggressive User 48382",2006,601,"2024-01-01",147
47878,"aggressive_47878","Aggressive User 47878",2874,862,"2024-01-01",187
48807,"aggressive_48807","Aggressive User 48807",3607,1082,"2024-01-01",138
38779,"aggressive_38779","Aggressive User 38779",3486,1045,"2024-01-01",201
45782,"aggressive_45782","Aggressive User 45782",2860,858,"2024-01-01",142
40325,"aggressive_40325","Aggressive User 40325",3326,997,"2024-01-01",133
32290,"aggressive_32290","Aggressive User 32290",2684,805,"2024-01-01",172
