fid,username,display_name,follower_count,following_count,last_cast_date,days_inactive
240,"user_240","User 240",349,104,"2024-01-01",96
451,"user_451","User 451",1709,512,"2024-01-01",157
115,"user_115","User 115",494,148,"2024-01-01",158
462,"user_462","User 462",1778,533,"2024-01-01",120
370,"user_370","User 370",1023,306,"2024-01-01",118
269,"user_269","User 269",1426,427,"2024-01-01",156
194,"user_194","User 194",394,118,"2024-01-01",73
387,"user_387","User 387",709,212,"2024-01-01",85
430,"user_430","User 430",1105,331,"2024-01-01",77
1321,"user_1321","User 1321",898,269,"2024-01-01",77
2971,"user_2971","User 2971",1164,349,"2024-01-01",129
1914,"user_1914","User 1914",448,134,"2024-01-01",114
8601,"user_8601","User 8601",1264,379,"2024-01-01",93
8232,"user_8232","User 8232",440,132,"2024-01-01",149
9911,"user_9911","User 9911",504,151,"2024-01-01",116
9201,"user_9201","User 9201",367,110,"2024-01-01",93
7587,"user_7587","User 7587",916,274,"2024-01-01",122
7692,"user_7692","User 7692",236,70,"2024-01-01",78
23635,"user_23635","User 23635",1058,317,"2024-01-01",152
22640,"user_22640","User 22640",147,44,"2024-01-01",101
19539,"user_19539","User 19539",841,252,"2024-01-01",126
24832,"user_24832","User 24832",928,278,"2024-01-01",134
24772,"user_24772","User 24772",387,116,"2024-01-01",158
16255,"user_16255","User 16255",600,180,"2024-01-01",107
24012,"user_24012","User 24012",1689,506,"2024-01-01",110
19228,"user_19228","User 19228",411,123,"2024-01-01",93
17911,"user_17911","User 17911",1351,405,"2024-01-01",109
