fid,username,display_name,follower_count,following_count,last_cast_date,days_inactive
289,"user_289","User 289",469,140,"2024-01-01",155
140,"user_140","User 140",2607,782,"2024-01-01",139
276,"user_276","User 276",1201,360,"2024-01-01",136
147,"user_147","User 147",1955,586,"2024-01-01",77
388,"user_388","User 388",2061,618,"2024-01-01",112
404,"user_404","User 404",417,125,"2024-01-01",115
148,"user_148","User 148",1813,543,"2024-01-01",178
2649,"user_2649","User 2649",1463,438,"2024-01-01",60
1701,"user_1701","User 1701",2121,636,"2024-01-01",112
2247,"user_2247","User 2247",2931,879,"2024-01-01",105
2416,"user_2416","User 2416",2643,792,"2024-01-01",153
1429,"user_1429","User 1429",427,128,"2024-01-01",82
1844,"user_1844","User 1844",2666,799,"2024-01-01",64
2715,"user_2715","User 2715",1212,363,"2024-01-01",92
1432,"user_1432","User 1432",972,291,"2024-01-01",147
2759,"user_2759","User 2759",1109,332,"2024-01-01",125
2098,"user_2098","User 2098",1375,412,"2024-01-01",146
1531,"user_1531","User 1531",1297,389,"2024-01-01",104
1208,"user_1208","User 1208",478,143,"2024-01-01",176
5302,"user_5302","User 5302",2536,760,"2024-01-01",141
7292,"user_7292","User 7292",1234,370,"2024-01-01",136
6759,"user_6759","User 6759",1087,326,"2024-01-01",161
7745,"user_7745","User 7745",2806,841,"2024-01-01",77
8082,"user_8082","User 8082",586,175,"2024-01-01",111
9104,"user_9104","User 9104",1981,594,"2024-01-01",159
9944,"user_9944","User 9944",2210,663,"2024-01-01",154
7921,"user_7921","User 7921",2877,863,"2024-01-01",118
6110,"user_6110","User 6110",2615,784,"2024-01-01",116
19332,"user_19332","User 19332",1577,473,"2024-01-01",140
15191,"user_15191","User 15191",501,150,"2024-01-01",104
24866,"user_24866","User 24866",108,32,"2024-01-01",133
22954,"user_22954","User 22954",1536,460,"2024-01-01",168
17014,"user_17014","User 17014",3095,928,"2024-01-01",156
15870,"user_15870","User 15870",1227,368,"2024-01-01",147
